sample_id,evaluation_split,category,base_norule_correct,base_rule_correct,outcome_grpo_rule_correct,krpo_rule_correct
mcb-v1.0.7-test-0207,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0208,seen_calculator,severity,0,1,0,0
mcb-v1.0.7-test-0209,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0210,seen_calculator,severity,0,1,0,0
mcb-v1.0.7-test-0211,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0212,seen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0213,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0214,seen_calculator,severity,1,0,0,0
mcb-v1.0.7-test-0215,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0216,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0217,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0218,seen_calculator,severity,0,0,1,0
mcb-v1.0.7-test-0219,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0220,seen_calculator,severity,1,1,0,1
mcb-v1.0.7-test-0221,unseen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0222,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0223,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0224,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0225,unseen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0226,unseen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0227,unseen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0228,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0229,unseen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0230,unseen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0231,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0232,unseen_calculator,risk,1,1,1,0
mcb-v1.0.7-test-0233,unseen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0234,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0235,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0236,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0237,unseen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0238,unseen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0239,unseen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0240,unseen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0241,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0242,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0243,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0244,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0245,seen_calculator,risk,1,1,1,0
mcb-v1.0.7-test-0246,seen_calculator,risk,1,0,1,0
mcb-v1.0.7-test-0247,seen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0248,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0249,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0250,seen_calculator,risk,1,1,1,0
mcb-v1.0.7-test-0251,seen_calculator,risk,1,0,1,1
mcb-v1.0.7-test-0252,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0253,seen_calculator,risk,1,1,1,0
mcb-v1.0.7-test-0254,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0255,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0256,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0257,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0258,seen_calculator,risk,1,0,1,1
mcb-v1.0.7-test-0259,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0260,seen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0261,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0262,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0263,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0264,seen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0265,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0266,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0267,seen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0268,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0269,seen_calculator,risk,1,0,1,1
mcb-v1.0.7-test-0270,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0271,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0272,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0273,seen_calculator,risk,1,0,1,1
mcb-v1.0.7-test-0274,seen_calculator,risk,0,1,0,1
mcb-v1.0.7-test-0275,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0276,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0277,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0278,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0279,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0280,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0301,unseen_calculator,severity,0,1,0,0
mcb-v1.0.7-test-0302,unseen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0303,unseen_calculator,severity,0,1,1,0
mcb-v1.0.7-test-0304,unseen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0305,unseen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0306,unseen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0307,unseen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0308,unseen_calculator,severity,0,0,0,1
mcb-v1.0.7-test-0309,unseen_calculator,severity,1,1,1,0
mcb-v1.0.7-test-0310,unseen_calculator,severity,0,1,0,0
mcb-v1.0.7-test-0311,unseen_calculator,severity,0,0,1,0
mcb-v1.0.7-test-0312,unseen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0313,unseen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0314,unseen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0315,unseen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0316,unseen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0317,unseen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0318,unseen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0319,unseen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0320,unseen_calculator,severity,0,1,0,0
mcb-v1.0.7-test-0361,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0362,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0363,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0364,seen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0365,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0366,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0367,seen_calculator,risk,1,0,1,1
mcb-v1.0.7-test-0368,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0369,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0370,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0371,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0372,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0373,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0374,seen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0375,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0376,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0377,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0378,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0379,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0380,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0401,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0402,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0403,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0404,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0405,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0406,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0407,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0408,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0409,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0410,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0411,seen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0412,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0413,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0414,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0415,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0416,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0417,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0418,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0419,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0420,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0461,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0462,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0463,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0464,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0465,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0466,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0467,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0468,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0469,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0470,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0471,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0472,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0473,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0474,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0475,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0476,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0477,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0478,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0479,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0480,seen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0481,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0482,seen_calculator,diagnosis,0,0,0,1
mcb-v1.0.7-test-0483,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0484,seen_calculator,diagnosis,0,0,1,0
mcb-v1.0.7-test-0485,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0486,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0487,seen_calculator,diagnosis,1,1,0,1
mcb-v1.0.7-test-0488,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0489,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0490,seen_calculator,diagnosis,0,1,0,0
mcb-v1.0.7-test-0491,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0492,seen_calculator,diagnosis,0,0,1,1
mcb-v1.0.7-test-0493,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0494,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0495,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0496,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0497,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0498,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0499,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0500,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0541,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0542,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0543,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0544,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0545,seen_calculator,risk,1,0,0,1
mcb-v1.0.7-test-0546,seen_calculator,risk,1,1,0,1
mcb-v1.0.7-test-0547,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0548,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0549,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0550,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0551,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0552,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0553,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0554,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0555,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0556,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0557,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0558,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0559,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0560,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0621,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0622,unseen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0623,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0624,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0625,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0626,unseen_calculator,diagnosis,1,0,1,1
mcb-v1.0.7-test-0627,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0628,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0629,unseen_calculator,diagnosis,1,1,0,1
mcb-v1.0.7-test-0630,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0631,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0632,unseen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0633,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0634,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0635,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0636,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0637,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0638,unseen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0639,unseen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0640,unseen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0641,seen_calculator,diagnosis,0,0,0,0
mcb-v1.0.7-test-0642,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0643,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0644,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0645,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0646,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0647,seen_calculator,diagnosis,0,1,0,0
mcb-v1.0.7-test-0648,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0649,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0650,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0651,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0652,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0653,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0654,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0655,seen_calculator,diagnosis,0,0,1,0
mcb-v1.0.7-test-0656,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0657,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0658,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0659,seen_calculator,diagnosis,1,1,1,1
mcb-v1.0.7-test-0660,seen_calculator,diagnosis,0,1,1,1
mcb-v1.0.7-test-0881,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0882,seen_calculator,severity,0,1,0,1
mcb-v1.0.7-test-0883,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0884,seen_calculator,severity,0,1,1,0
mcb-v1.0.7-test-0885,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0886,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0887,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0888,seen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0889,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0890,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0891,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0892,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0893,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0894,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0895,seen_calculator,severity,0,0,0,1
mcb-v1.0.7-test-0896,seen_calculator,severity,0,1,0,0
mcb-v1.0.7-test-0897,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0898,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0899,seen_calculator,severity,0,0,0,1
mcb-v1.0.7-test-0900,seen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0901,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0902,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0903,seen_calculator,severity,0,1,1,0
mcb-v1.0.7-test-0904,seen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0905,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0906,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0907,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0908,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0909,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0910,seen_calculator,severity,0,0,0,1
mcb-v1.0.7-test-0911,seen_calculator,severity,0,0,0,0
mcb-v1.0.7-test-0912,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0913,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0914,seen_calculator,severity,1,1,0,1
mcb-v1.0.7-test-0915,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0916,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0917,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0918,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0919,seen_calculator,severity,1,1,1,1
mcb-v1.0.7-test-0920,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0921,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0922,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0923,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0924,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0925,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0926,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0927,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0928,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0929,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0930,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0931,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0932,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0933,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0934,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0935,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0936,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0937,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0938,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0939,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0940,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0941,unseen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0942,unseen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0943,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0944,unseen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0945,unseen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0946,unseen_calculator,risk,1,0,0,1
mcb-v1.0.7-test-0947,unseen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0948,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0949,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0950,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0951,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0952,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0953,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0954,unseen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0955,unseen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0956,unseen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0957,unseen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0958,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0959,unseen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0960,unseen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0961,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0962,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0963,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0964,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0965,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0966,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0967,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0968,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0969,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0970,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0971,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0972,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0973,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0974,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0975,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0976,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0977,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0978,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0979,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0980,seen_calculator,risk,0,0,0,0
